,Na,K,Mg,Al,Hg,Pb,F,Cl,SO4,NO3,As,Hardness,Color,COD,BOD,pH,Category
Spring_193,105.09,76.84,68.61,22.63,15.57,16.37,121.46,130.42,63.94,57.14,10.38,12.15,247.63,8.72,9.31,6.83,4
Spring_194,82.84,78.06,33.23,28.96,16.76,15.3,89.14,153.34,63.99,72.58,13.19,12.56,391.32,17.13,14.58,7.25,3
Spring_195,106.68,86.29,66.14,29.83,15.48,19.23,122.64,168.16,78.0,51.1,14.21,16.67,445.07,54.52,10.56,8.04,5
Spring_196,78.04,90.7,36.84,29.79,14.1,16.02,115.9,165.46,70.07,76.11,18.72,16.19,459.67,0.85,14.58,6.1,1
Spring_197,75.74,93.09,56.9,21.3,17.65,18.83,82.36,183.89,60.44,69.5,19.78,16.18,280.18,16.77,19.23,5.16,3
Spring_198,122.62,72.93,25.54,20.25,10.23,17.29,87.55,133.55,42.58,70.39,10.41,13.58,264.03,58.97,6.86,8.13,1
Spring_199,77.72,81.17,63.67,22.48,18.77,18.01,75.81,192.55,72.18,71.85,14.72,16.19,331.67,41.97,19.82,6.75,1
Spring_200,78.19,99.41,43.03,20.78,14.73,16.1,89.6,184.03,46.73,79.17,16.51,12.29,387.91,12.0,13.45,7.02,1
Spring_201,100.49,81.66,52.36,20.12,18.84,10.72,91.33,133.24,50.08,50.37,15.57,16.99,191.84,67.73,16.96,7.7,2
Spring_202,100.56,84.93,41.84,26.84,19.94,10.08,121.89,186.55,63.11,73.0,10.64,18.3,324.97,17.79,16.63,7.77,1
Spring_203,78.58,97.37,59.01,26.08,17.32,13.25,110.89,172.89,59.64,59.81,13.9,19.21,180.88,32.66,12.35,5.64,1
Spring_204,97.68,81.5,42.85,25.81,10.24,12.03,76.77,131.82,63.68,66.65,15.35,12.29,439.55,2.0,10.45,6.38,1
Spring_205,78.33,73.48,46.83,20.61,17.32,19.63,107.06,156.38,63.75,65.33,16.78,23.54,444.7,10.79,19.16,8.57,1
Spring_206,105.24,98.68,27.42,24.1,11.62,10.7,120.4,147.62,52.17,62.98,18.75,10.5,293.7,11.83,11.55,5.59,4
Spring_207,109.3,71.7,27.55,26.14,10.77,16.67,101.32,168.26,49.25,67.23,15.95,16.87,300.15,63.17,5.77,7.08,4
Spring_208,123.94,85.97,47.11,22.9,13.7,13.7,76.42,182.2,51.53,66.77,16.35,12.22,365.64,74.47,19.86,8.16,2
Spring_209,117.67,78.37,51.88,27.03,12.26,17.95,120.32,187.06,69.1,71.07,18.92,19.33,424.16,27.07,7.96,8.58,4
Spring_210,89.68,89.94,41.08,22.79,18.91,11.62,113.79,181.19,58.8,59.15,12.5,12.83,447.44,58.0,12.54,6.29,2
Spring_211,94.91,80.78,43.13,22.69,18.92,10.72,105.0,161.28,62.38,60.97,19.47,10.85,399.53,37.72,18.0,6.12,3
Spring_212,79.24,97.61,63.13,29.03,17.36,17.77,100.61,170.71,55.72,68.35,10.71,21.87,190.1,72.46,3.19,8.09,4
Spring_213,88.57,87.86,59.56,27.12,15.83,10.84,86.01,195.77,74.1,61.4,19.11,10.71,277.17,56.58,18.24,6.55,3
Spring_214,82.98,89.74,51.97,22.74,13.91,19.52,118.32,188.92,70.74,59.87,15.81,18.96,262.47,47.6,4.23,7.64,4
Spring_215,78.44,96.78,54.02,20.95,17.76,18.21,124.14,189.62,49.07,58.04,15.39,15.75,326.68,40.87,9.13,8.31,1
Spring_216,86.67,91.9,38.59,21.35,19.81,13.74,99.65,188.98,77.24,71.01,19.71,12.18,419.04,53.42,19.06,5.03,2
Spring_217,106.88,77.75,31.45,24.73,17.29,13.7,99.1,158.52,54.39,59.54,12.11,8.59,103.8,61.82,5.47,6.86,1
Spring_218,96.71,71.62,52.66,23.67,16.52,14.11,91.68,160.46,48.92,75.22,18.27,12.06,413.73,8.19,4.81,8.0,2
Spring_219,111.35,78.0,61.2,29.76,16.39,19.83,79.29,126.87,79.11,69.52,12.52,11.01,204.91,59.42,3.66,5.88,4
Spring_220,117.99,71.31,28.41,20.42,14.29,11.2,95.58,181.48,61.1,67.74,16.86,10.96,151.85,33.97,16.48,5.68,3
Spring_221,109.97,90.06,25.57,25.37,12.99,19.62,110.13,192.64,70.12,71.72,18.23,8.86,483.76,30.2,6.77,8.67,2
Spring_222,121.79,99.76,53.8,25.57,13.04,15.9,117.6,192.08,44.55,57.88,17.15,21.43,249.77,29.54,15.92,8.14,4
Spring_223,79.34,91.9,27.41,25.62,17.97,19.01,100.62,183.34,40.87,53.84,16.09,11.77,180.82,16.48,19.5,7.57,1
Spring_224,116.32,88.67,30.01,24.61,10.81,13.5,79.11,161.24,67.41,52.36,12.06,18.06,174.3,30.79,8.01,5.76,1
Spring_225,115.19,90.13,57.45,27.76,17.47,13.18,76.39,198.48,52.75,55.22,18.06,17.83,248.89,44.96,5.36,8.57,5
Spring_226,76.16,94.16,48.89,22.83,19.33,13.26,92.13,142.37,68.52,66.56,17.4,21.57,470.63,17.12,9.49,6.47,5
Spring_227,119.01,98.01,29.2,23.04,18.2,14.43,109.62,153.6,73.04,51.68,11.25,10.14,461.44,66.35,3.74,5.55,3
Spring_228,98.93,88.17,57.99,25.26,11.94,16.66,111.04,188.6,46.68,76.9,16.31,16.34,408.02,58.42,11.22,5.37,4
Spring_229,81.33,78.15,53.48,25.08,18.41,15.08,86.48,144.38,55.86,72.42,18.82,8.63,164.83,47.48,3.47,6.1,3
Spring_230,96.59,74.23,42.75,22.69,16.58,10.75,110.73,163.67,62.06,67.47,12.97,15.43,193.89,20.6,4.19,8.92,1
Spring_231,83.62,71.0,46.24,21.13,14.37,12.52,75.04,173.88,41.95,64.19,16.67,15.75,113.02,48.69,2.49,7.37,5
Spring_232,123.65,83.49,69.35,27.96,18.05,17.87,82.04,130.93,53.31,79.11,13.15,9.05,146.74,29.02,11.26,8.03,2
Spring_233,86.6,84.87,39.73,20.59,18.51,17.18,78.93,135.01,75.65,50.06,17.95,15.3,221.64,51.7,2.81,7.53,5
Spring_234,81.69,96.0,53.64,29.25,14.34,10.02,110.97,161.7,65.09,68.39,15.61,13.83,274.56,63.88,12.44,6.46,2
Spring_235,101.0,99.42,40.13,20.7,16.42,15.62,110.17,149.53,50.42,75.54,18.28,16.82,268.71,29.48,4.44,8.54,1
Spring_236,89.41,71.48,41.44,24.34,16.84,13.66,80.29,177.94,61.21,71.9,12.76,17.8,177.8,14.04,7.21,6.26,2
Spring_237,113.47,76.95,26.53,27.51,10.88,15.51,93.91,167.44,43.42,51.91,15.43,13.44,329.49,65.09,15.93,6.01,4
Spring_238,110.05,70.06,27.44,25.41,11.78,10.45,122.98,154.04,50.97,61.29,10.59,11.98,210.67,38.95,2.89,6.35,3
Spring_239,79.85,98.65,67.93,25.93,11.49,10.88,91.8,166.63,46.8,65.16,16.02,16.4,224.16,32.18,18.05,6.23,1
Spring_240,83.0,82.92,40.05,22.48,17.08,15.27,81.14,186.63,72.98,69.24,18.95,23.0,467.86,7.74,8.21,8.76,3
Spring_241,109.16,83.11,62.18,29.87,19.99,17.84,82.48,176.4,46.64,55.27,18.03,21.72,481.07,47.65,9.67,7.16,1
Spring_242,90.5,96.88,35.54,29.79,13.44,12.76,96.38,171.36,63.07,52.29,15.01,17.48,167.91,70.53,10.11,6.57,3
Spring_243,97.6,88.99,47.84,26.76,19.69,19.57,100.96,132.49,63.35,71.62,18.31,14.15,218.84,10.98,4.77,6.63,4
Spring_244,83.12,90.61,48.19,20.3,16.26,19.28,106.03,179.5,58.9,74.4,19.82,23.89,199.21,14.03,9.13,5.07,3
Spring_245,117.39,95.25,50.5,26.06,15.51,12.67,104.45,145.29,45.59,73.58,15.9,16.87,226.44,27.2,8.55,6.67,5
Spring_246,104.28,78.98,47.55,22.2,16.69,11.28,124.43,144.78,69.63,58.36,16.51,8.83,253.45,0.15,12.23,6.26,2
Spring_247,112.65,94.66,39.42,27.32,16.35,12.97,86.06,168.12,77.57,55.13,18.25,23.55,166.65,36.33,7.94,6.26,1
Spring_248,93.42,87.42,43.41,24.33,16.16,14.49,101.35,185.29,62.45,57.82,12.71,9.5,151.85,69.17,18.67,5.66,1
Spring_249,120.99,76.25,68.11,22.36,16.97,12.01,121.76,155.41,71.2,53.28,11.06,22.48,183.89,14.49,11.57,6.81,5
Spring_250,123.75,85.22,48.47,27.93,15.67,18.38,123.69,177.82,70.71,61.2,18.84,21.53,497.39,34.32,8.4,5.24,2
Spring_251,108.61,70.97,38.94,21.27,10.55,17.24,117.99,165.16,57.32,76.05,12.0,12.98,191.84,19.46,10.43,7.23,3
Spring_252,101.97,74.19,45.29,27.57,14.48,11.46,85.15,148.32,40.57,57.04,19.69,12.83,143.34,38.61,2.48,5.45,1
Spring_253,117.97,71.29,56.12,20.54,15.55,20.0,119.86,128.44,70.29,70.29,10.34,14.14,206.73,7.22,19.22,5.81,1
Spring_254,96.3,95.02,28.58,23.41,19.6,17.76,113.4,135.69,42.2,72.56,12.48,15.43,205.53,63.24,11.14,8.87,2
Spring_255,76.51,97.05,61.73,28.1,11.02,18.7,92.07,151.61,52.92,74.48,17.04,16.03,191.2,54.42,8.54,6.52,4
Spring_256,105.88,76.44,29.34,28.72,13.95,18.88,82.05,167.22,70.12,55.66,10.5,18.84,220.85,11.22,12.87,8.73,1
Spring_257,115.42,80.72,67.22,23.28,18.14,19.69,91.6,150.72,42.29,51.2,16.93,22.75,330.77,43.94,16.17,5.64,3
Spring_258,116.45,94.83,58.3,27.88,15.22,11.64,106.91,189.33,60.4,51.82,16.15,23.35,190.02,52.58,13.21,7.09,2
Spring_259,116.39,78.99,25.93,27.69,13.08,14.2,81.06,149.98,45.62,59.91,13.03,14.54,230.06,31.28,3.97,5.14,4
Spring_260,81.67,78.18,34.76,26.18,14.99,19.62,97.34,157.34,64.88,58.4,17.88,10.19,167.32,21.26,6.41,7.13,2
Spring_261,81.89,91.18,53.65,24.34,16.23,11.67,77.28,175.17,56.17,75.31,19.15,16.56,420.51,39.9,2.92,5.87,4
Spring_262,107.19,82.63,42.55,21.24,11.96,19.27,83.66,174.88,41.33,51.92,10.19,18.26,307.58,47.39,12.55,8.97,4
Spring_263,98.69,78.33,56.75,29.54,18.26,11.78,123.65,185.21,44.29,71.36,10.23,15.22,163.01,33.06,2.84,6.32,1
Spring_264,98.0,80.58,56.46,21.07,10.57,11.57,93.54,185.95,77.43,79.95,10.48,23.65,462.06,62.77,18.69,8.13,3
Spring_265,112.9,87.65,47.43,21.34,19.23,12.9,123.94,190.84,59.2,70.56,14.43,20.33,237.17,51.92,16.82,8.55,1
Spring_266,116.7,89.34,31.29,25.0,11.66,13.97,95.54,166.2,60.97,71.25,13.2,15.56,484.9,48.16,9.72,6.23,2
Spring_267,104.13,84.39,35.78,28.25,14.72,17.26,94.87,198.61,67.65,61.94,13.3,9.65,132.58,22.57,10.24,6.55,1
Spring_268,111.32,97.63,49.28,22.46,18.56,11.72,95.36,187.37,62.96,76.15,16.29,19.13,400.91,57.31,14.59,7.6,5
Spring_269,111.61,83.39,46.85,22.82,11.54,13.13,101.85,172.23,62.05,67.83,18.73,16.52,357.54,60.76,12.74,8.81,1
Spring_270,106.1,83.03,35.88,28.54,17.26,10.64,79.2,172.46,63.14,60.03,11.13,21.67,279.47,65.91,12.37,8.96,1
Spring_271,91.52,84.52,34.98,26.03,12.31,16.4,103.04,182.4,48.89,65.13,15.8,10.18,324.8,64.64,3.92,6.48,2
Spring_272,86.06,91.83,33.82,28.75,13.58,17.24,83.7,195.33,55.95,61.7,16.7,9.48,233.3,34.83,6.76,8.75,1
Spring_273,120.02,98.69,27.83,21.22,14.12,10.02,75.52,128.38,79.68,70.97,17.13,21.67,153.14,23.39,15.26,7.33,2
Spring_274,91.04,93.98,28.31,22.33,16.94,13.9,109.98,146.1,47.84,56.57,11.04,15.1,349.6,74.05,7.63,8.05,4
Spring_275,78.3,85.47,55.52,22.76,15.0,19.39,114.11,134.36,74.44,59.43,17.44,9.12,221.68,7.45,8.9,5.07,2
Spring_276,100.81,86.13,43.1,29.54,10.38,13.5,88.74,131.88,49.29,54.89,17.11,20.89,430.85,46.12,10.69,5.08,1
Spring_277,112.79,81.68,52.45,28.75,15.03,13.34,112.82,161.38,65.84,72.78,19.63,17.2,474.34,11.0,15.71,8.54,5
Spring_278,113.96,88.84,54.58,25.36,18.23,14.84,116.9,156.72,49.21,71.58,18.53,11.32,224.09,4.89,16.01,8.84,4
Spring_279,115.58,91.84,43.9,22.91,16.24,16.58,121.58,142.47,48.95,77.19,10.38,11.02,482.85,60.65,13.94,5.83,1
Spring_280,122.98,80.51,34.46,26.77,13.07,11.85,104.93,141.7,64.24,52.59,13.76,22.72,146.17,17.94,10.15,5.19,4
Spring_281,110.1,98.77,29.45,24.53,17.31,16.87,92.22,189.85,64.61,67.23,14.25,20.44,446.27,25.63,19.52,8.33,3
Spring_282,112.78,84.63,31.35,22.36,13.26,12.15,87.95,160.54,69.55,62.05,12.78,16.92,415.19,24.54,8.71,5.82,5
Spring_283,103.39,79.93,61.31,26.37,12.11,14.61,92.54,139.0,59.77,56.42,11.27,21.95,260.92,10.03,8.83,5.52,5
Spring_284,112.39,79.19,66.68,28.47,17.45,12.41,122.43,172.48,53.78,64.48,18.52,22.49,184.3,56.49,6.88,5.49,5
Spring_285,85.57,91.73,61.66,28.67,19.27,11.17,81.44,148.08,50.67,54.32,14.46,15.11,395.29,19.26,5.59,5.82,2
Spring_286,88.08,91.75,38.75,24.51,10.49,19.49,90.14,181.31,52.79,76.58,16.01,9.81,402.85,11.87,3.25,6.15,3
Spring_287,118.51,76.88,27.29,27.71,15.58,12.42,92.13,183.32,58.14,60.72,15.19,13.53,395.73,51.05,3.83,5.02,4
Spring_288,92.54,71.39,69.84,25.58,18.82,12.28,92.46,183.06,78.57,50.42,19.41,8.42,358.63,11.62,19.18,6.78,2
Spring_289,79.25,72.85,63.94,27.23,12.37,13.95,78.53,146.03,57.9,56.44,13.45,9.48,284.62,11.5,18.33,6.97,2
Spring_290,112.37,96.53,54.69,22.84,12.83,11.89,110.59,141.83,65.97,70.03,18.64,19.08,145.87,55.51,9.7,5.71,4
Spring_291,107.87,75.34,43.29,28.79,17.34,15.65,90.4,151.93,49.23,61.06,13.53,20.53,431.26,47.32,11.36,5.56,4
Spring_292,83.85,91.16,41.79,22.25,13.52,18.6,98.62,161.89,64.3,78.91,12.78,12.09,488.62,21.05,19.19,7.19,4
Spring_293,111.69,88.88,60.72,26.45,18.37,13.93,80.18,175.51,44.49,52.24,18.54,9.51,378.3,70.39,5.9,6.45,5
Spring_294,100.41,77.21,54.29,22.92,17.23,15.02,80.08,162.93,57.42,52.29,10.08,13.17,204.14,14.89,19.43,8.33,1
Spring_295,84.31,94.48,40.04,20.52,18.8,19.28,105.27,137.25,45.84,54.14,18.05,19.6,273.02,64.16,16.47,5.82,3
Spring_296,81.23,94.84,25.68,21.18,10.55,13.77,100.39,176.51,52.26,75.63,15.56,19.18,137.66,31.19,14.59,5.19,5
Spring_297,75.64,80.65,65.02,28.3,15.8,10.77,101.9,183.16,43.11,64.66,14.84,23.3,116.26,54.61,4.81,5.04,5
Spring_298,121.48,89.47,62.01,25.66,18.97,13.74,116.71,143.22,41.09,52.17,18.92,13.91,412.29,0.95,15.41,7.89,2
Spring_299,119.78,98.72,46.93,26.18,18.36,10.67,87.89,125.25,63.85,65.92,14.07,17.19,257.11,19.51,2.53,7.77,2
Spring_300,85.58,93.07,45.29,26.98,16.27,11.28,120.68,188.74,62.97,58.2,18.07,15.52,250.4,34.6,4.26,7.79,1
Spring_301,89.23,72.39,26.52,20.4,14.4,10.15,122.93,156.43,54.61,64.68,10.8,11.9,496.66,44.66,18.81,8.09,5
Spring_302,80.82,77.83,63.72,29.87,19.63,12.88,86.51,140.98,42.73,50.34,17.01,11.34,102.13,69.33,15.06,7.84,1
Spring_303,123.14,93.13,46.5,22.61,10.12,15.99,100.05,137.55,64.28,58.27,18.46,10.61,382.48,53.11,4.24,6.57,5
Spring_304,120.62,89.91,66.45,22.88,14.47,17.46,113.36,195.27,51.74,68.6,12.99,17.46,339.23,16.2,11.23,7.74,3
Spring_305,78.84,88.26,42.77,24.33,16.48,12.84,119.4,138.16,78.68,56.17,11.2,12.4,301.81,10.23,4.23,7.97,1
Spring_306,111.18,90.79,49.2,25.36,14.1,17.13,98.54,170.21,59.79,55.34,14.54,8.94,490.96,6.0,18.93,5.96,1
Spring_307,104.06,82.53,26.85,27.11,11.05,15.76,104.99,189.57,48.33,76.22,16.32,14.14,209.81,39.75,16.04,8.48,2
Spring_308,112.46,96.46,63.75,21.24,16.92,17.92,82.87,134.55,67.9,58.42,13.17,12.11,429.21,40.15,3.78,5.88,3
Spring_309,83.61,96.05,25.02,21.63,13.75,16.53,90.65,165.51,69.87,71.58,16.88,20.49,478.54,60.66,16.35,8.42,1
Spring_310,119.87,89.34,53.6,23.28,17.47,18.22,110.55,130.43,44.56,60.0,18.81,16.64,260.33,20.01,19.58,5.01,1
Spring_311,95.6,89.31,46.84,23.49,15.91,10.81,94.94,187.32,49.46,54.59,19.43,8.59,163.8,44.52,5.65,8.91,3
Spring_312,98.61,77.63,54.52,20.32,17.6,11.78,124.73,158.16,61.58,53.02,19.69,12.16,238.72,1.59,11.0,7.03,1
Spring_313,120.59,99.7,51.84,29.32,10.42,18.86,102.09,147.51,54.05,67.1,15.2,8.99,308.37,68.88,10.4,7.74,1
Spring_314,90.77,96.66,64.35,20.38,15.21,16.05,87.34,198.28,53.89,79.23,14.32,14.18,195.91,37.25,18.48,7.57,3
Spring_315,84.59,75.79,67.1,22.47,18.08,17.98,110.6,185.3,44.27,71.62,16.23,22.53,338.39,60.82,16.45,6.62,4
Spring_316,106.16,83.49,53.63,25.7,10.05,12.8,122.42,136.22,62.74,61.57,19.44,16.33,246.25,59.95,18.17,6.74,3
Spring_317,85.22,90.76,28.24,28.49,14.02,11.02,78.34,194.73,69.59,69.02,13.32,17.52,351.43,18.95,3.03,8.28,2
Spring_318,77.99,84.78,65.36,26.54,16.8,13.22,104.5,139.94,68.17,77.94,16.61,12.52,231.99,55.94,12.54,7.04,2
Spring_319,108.67,99.51,53.14,29.73,13.4,17.78,112.12,176.16,58.72,67.31,17.79,13.77,463.59,50.08,7.91,6.49,2
Spring_320,115.81,81.64,65.19,24.5,14.74,12.77,98.71,153.03,58.98,50.19,12.16,14.47,276.45,45.03,5.02,6.55,1
Spring_321,124.72,91.52,69.43,21.84,10.75,11.96,120.35,146.42,67.47,77.72,11.01,13.2,154.77,26.1,9.26,5.38,4
Spring_322,97.05,79.55,34.24,25.39,14.1,13.37,119.95,188.35,61.8,53.87,11.65,10.76,475.98,24.84,12.04,6.36,2
Spring_323,121.59,90.51,61.41,27.37,14.16,15.94,121.05,125.71,54.26,62.26,12.83,17.1,142.99,45.58,4.29,5.53,3
Spring_324,98.76,86.0,31.51,22.14,15.76,13.3,114.87,126.15,41.76,75.16,12.2,13.53,285.53,63.36,16.45,7.44,3
Spring_325,115.24,88.19,43.63,27.45,11.16,17.43,114.96,168.29,46.91,62.92,16.38,18.29,235.05,64.91,7.55,6.51,3
Spring_326,115.46,73.67,45.18,28.94,16.13,17.49,105.97,154.95,67.39,50.02,18.38,18.18,113.18,60.53,6.43,7.79,5
Spring_327,88.97,89.1,51.12,22.11,19.34,17.82,89.29,196.36,78.65,65.11,12.01,14.53,308.99,22.76,2.41,5.87,1
Spring_328,115.54,80.72,26.72,28.85,18.49,12.49,76.49,135.72,69.33,60.44,11.95,22.48,229.81,62.08,14.12,6.63,3
Spring_329,100.84,84.66,41.37,22.9,15.94,14.31,84.85,170.25,50.88,79.18,10.06,16.93,133.82,21.15,16.89,7.76,3
Spring_330,98.5,81.33,69.57,21.83,13.58,12.84,98.81,134.36,59.47,76.25,15.37,20.31,171.32,71.98,3.67,5.44,2
Spring_331,116.87,72.14,51.32,23.77,15.06,17.92,95.28,142.73,53.13,77.52,13.11,10.43,108.57,70.51,10.22,5.98,4
Spring_332,95.57,79.03,34.59,21.73,17.6,11.65,84.96,186.95,43.04,67.57,18.74,14.27,245.26,41.21,3.25,8.13,2
Spring_333,92.94,96.95,55.24,28.03,18.98,10.58,88.55,138.2,58.65,78.55,15.63,10.27,139.36,12.32,10.18,8.78,1
Spring_334,75.23,81.0,60.1,29.87,16.21,12.31,101.63,188.88,63.98,75.04,15.06,20.56,392.01,54.91,10.39,5.53,5
Spring_335,109.83,75.3,31.05,22.54,11.28,10.73,103.22,141.81,69.31,56.45,10.41,22.89,217.07,40.32,13.96,6.18,5
Spring_336,91.04,82.9,51.66,22.74,14.38,11.56,109.64,158.88,74.5,63.66,11.57,24.0,288.48,22.46,16.77,5.21,4
Spring_337,105.15,76.56,29.42,22.82,16.25,17.74,117.23,187.71,73.53,69.21,19.13,9.67,142.64,8.79,14.58,7.88,3
Spring_338,117.15,72.43,56.16,26.2,13.08,18.42,81.22,151.35,56.74,72.03,19.54,23.15,201.37,8.1,13.71,6.52,5
Spring_339,107.98,76.47,51.01,23.46,17.79,13.63,110.73,180.12,68.96,70.76,18.2,20.83,486.28,22.38,6.2,7.22,1
Spring_340,87.23,73.53,59.98,28.36,14.06,10.03,122.65,193.46,40.2,62.11,12.07,8.14,296.85,39.05,10.88,6.76,4
Spring_341,88.84,97.9,49.97,28.46,14.2,17.14,95.82,137.05,69.12,53.18,11.72,20.46,422.93,55.55,12.01,7.52,5
Spring_342,105.71,92.52,33.34,28.76,15.71,17.05,124.43,136.26,77.41,70.73,13.51,22.44,128.31,64.39,2.35,7.51,2
Spring_343,122.91,87.32,36.51,20.3,10.45,17.69,94.53,187.56,41.47,67.98,17.19,10.53,258.33,43.14,4.92,6.64,2
Spring_344,99.01,96.1,42.53,25.08,10.25,16.1,101.01,182.28,47.55,70.26,18.06,10.79,259.3,12.51,18.35,5.92,1
Spring_345,109.49,97.62,61.07,24.22,18.64,13.67,104.16,189.76,43.97,55.49,13.2,22.96,312.55,28.73,3.17,6.64,4
Spring_346,98.77,70.37,62.8,20.73,11.73,18.94,123.15,168.11,66.02,76.26,16.43,14.41,466.38,73.28,13.33,7.32,3
Spring_347,82.69,96.28,55.1,29.82,18.1,13.07,108.74,183.79,46.5,52.63,19.84,20.83,281.78,67.86,7.92,6.07,5
Spring_348,86.06,94.36,32.61,21.49,10.26,17.98,110.05,179.44,69.71,66.83,14.33,12.1,486.01,8.26,15.44,6.22,4
Spring_349,89.11,88.73,36.63,21.22,17.38,15.79,120.37,159.0,66.26,67.13,16.9,21.04,324.8,0.39,18.89,5.58,3
Spring_350,102.97,82.17,42.16,22.63,12.01,11.11,123.76,139.95,72.29,64.02,15.7,16.08,373.48,54.55,15.85,8.54,4
Spring_351,122.41,87.06,30.75,21.46,16.06,15.21,85.59,166.42,56.28,57.4,14.23,11.32,239.17,50.72,19.07,6.37,4
Spring_352,107.21,82.21,36.12,24.42,19.16,12.02,77.77,129.36,63.96,50.37,14.48,14.36,332.89,40.64,7.79,7.59,2
Spring_353,103.97,95.0,60.88,22.86,18.66,18.12,77.56,185.51,45.64,52.78,14.96,8.63,405.32,70.91,3.95,5.65,2
Spring_354,104.83,88.95,51.06,29.15,15.65,13.77,79.55,175.89,72.93,75.14,15.64,17.97,127.24,60.89,7.68,6.56,1
Spring_355,115.86,76.4,27.99,24.03,19.69,16.01,84.36,156.29,56.93,66.91,16.42,20.72,268.66,63.92,17.77,5.26,5
Spring_356,121.0,90.34,33.57,26.35,13.52,14.19,115.6,165.42,55.95,70.92,14.83,15.43,312.67,48.42,11.66,5.09,4
Spring_357,112.96,71.98,60.41,26.24,17.03,17.5,79.15,141.98,48.73,79.32,11.05,9.08,311.66,29.68,2.27,8.05,2
Spring_358,122.74,80.42,28.45,21.4,15.65,11.1,107.28,131.02,75.5,76.86,19.38,21.88,216.87,65.39,4.13,6.46,3
Spring_359,79.5,73.7,53.66,25.74,16.66,12.15,94.0,157.28,42.78,65.1,18.35,23.3,127.05,64.27,11.48,7.89,3
Spring_360,118.86,75.57,26.9,23.63,13.71,14.37,79.41,125.45,71.85,56.87,15.11,16.09,428.93,62.75,7.16,7.84,2
Spring_361,81.26,72.38,31.64,26.82,18.94,18.43,109.66,192.16,48.77,56.39,10.18,21.42,447.65,24.78,11.31,6.29,2
Spring_362,110.64,73.48,45.14,22.61,19.46,15.58,93.77,132.19,51.44,77.48,13.88,16.28,249.99,2.15,13.77,7.75,4
Spring_363,75.26,81.59,31.84,22.43,10.36,12.63,105.09,156.39,70.44,55.41,12.82,14.94,135.3,43.67,9.98,8.99,3
Spring_364,79.97,94.14,55.59,20.48,15.88,15.21,78.92,125.77,64.13,62.57,19.79,15.8,370.05,24.49,18.86,5.24,4
Spring_365,91.46,87.72,57.47,24.12,15.39,17.35,103.36,147.99,73.02,54.15,14.53,18.75,369.8,54.7,7.72,8.91,5
Spring_366,123.69,95.69,46.15,20.99,18.73,12.84,119.08,163.7,64.07,56.5,18.09,8.6,321.13,55.68,6.94,7.96,2
Spring_367,102.81,78.11,46.36,20.55,13.33,16.47,101.38,141.17,77.52,57.45,19.05,16.86,192.97,5.34,3.32,8.12,3
Spring_368,97.03,76.18,52.32,27.03,18.03,13.82,102.62,151.1,53.91,57.48,13.27,15.2,404.26,65.46,10.33,5.02,2
Spring_369,88.07,92.06,56.79,24.77,11.34,13.63,112.63,180.44,61.78,57.18,19.77,17.38,172.97,46.14,18.13,6.95,1
Spring_370,90.02,90.22,64.33,22.46,17.01,17.38,99.33,178.58,54.79,65.78,11.53,14.63,325.52,41.78,8.78,8.91,4
Spring_371,96.01,89.69,44.87,26.98,13.73,10.81,85.82,159.24,76.5,51.93,12.63,22.28,146.1,40.44,16.34,5.01,2
Spring_372,112.4,83.24,32.73,21.95,15.97,11.34,95.18,130.61,41.01,65.63,19.29,12.18,131.8,56.27,17.75,8.17,4
Spring_373,88.0,84.65,68.84,21.75,15.05,13.21,87.49,157.26,55.6,57.48,16.31,11.15,278.33,20.22,5.58,8.7,1
Spring_374,111.0,94.08,49.77,28.59,13.8,13.99,114.81,176.51,76.26,61.99,16.07,16.72,225.39,21.32,4.74,5.51,4
Spring_375,85.76,92.94,29.24,20.22,18.68,16.47,106.29,168.97,59.88,72.94,17.95,9.28,403.88,12.81,10.15,5.79,4
Spring_376,118.18,87.79,68.97,25.39,11.02,11.92,122.89,176.23,78.66,51.76,15.51,10.91,294.21,48.69,16.38,6.48,5
Spring_377,93.94,97.55,30.8,27.01,16.11,14.82,79.09,143.79,51.1,58.43,12.84,18.61,227.35,65.04,10.11,5.47,5
Spring_378,103.54,99.11,28.28,29.81,14.83,15.28,100.71,195.64,72.15,65.01,10.6,19.08,472.04,8.87,2.74,5.54,3
Spring_379,122.07,89.31,35.11,20.02,18.56,10.16,96.36,133.28,58.19,69.36,13.49,19.74,156.34,5.65,11.03,5.34,5
Spring_380,76.64,88.34,43.76,21.76,17.44,11.68,103.47,149.98,63.36,61.37,19.57,9.92,255.1,7.54,10.17,5.52,3
Spring_381,112.18,84.68,54.75,21.24,17.72,14.63,80.12,145.41,44.65,65.96,16.82,16.87,311.28,52.59,13.52,6.58,2
Spring_382,120.84,97.6,39.74,21.58,19.87,18.68,115.9,135.68,46.36,62.67,18.39,11.16,399.42,10.17,8.44,7.05,1
Spring_383,95.69,83.3,46.54,23.72,18.75,10.17,77.6,185.73,51.14,59.17,11.47,13.67,471.85,16.57,8.39,6.94,1
Spring_384,75.17,80.8,54.28,24.72,16.53,14.84,93.58,176.91,61.22,59.23,18.5,22.49,400.47,41.2,8.05,6.97,2
Spring_385,97.43,77.31,41.98,24.74,19.99,12.2,100.12,127.3,71.36,54.91,16.11,10.01,153.04,6.06,12.36,6.93,1
