,Na,K,Mg,Al,Hg,Pb,F,Cl,SO4,NO3,As,Hardness,Color,COD,BOD,pH,Category
Spring_198,109.7,98.86,67.73,26.9,19.86,10.02,106.03,196.65,62.35,71.37,15.1,12.54,398.32,24.4,12.1,5.92,5
Spring_199,114.56,78.62,69.56,21.06,10.4,19.75,77.41,176.66,54.7,59.25,13.07,19.01,470.46,24.5,13.42,8.12,3
Spring_200,117.83,73.5,55.0,27.26,18.88,18.21,97.32,181.9,70.6,72.71,11.71,17.0,205.94,45.64,5.73,6.88,3
Spring_201,85.24,99.51,52.51,25.96,12.48,14.88,96.54,155.95,41.69,71.38,11.25,20.48,221.89,67.04,4.64,6.23,2
Spring_202,84.35,73.32,28.69,28.33,19.62,17.31,117.74,148.0,73.31,72.52,19.16,16.82,130.44,30.38,8.7,7.18,2
Spring_203,95.53,93.26,59.18,27.16,18.19,12.84,103.12,136.08,71.15,51.24,15.58,15.32,273.07,30.96,15.81,5.42,5
Spring_204,106.17,78.31,47.82,21.37,15.52,10.04,109.36,172.08,68.56,63.71,17.84,16.36,235.34,54.79,18.78,5.17,4
Spring_205,102.65,84.1,39.6,20.29,19.68,18.16,76.33,139.44,42.39,65.03,11.25,19.08,472.8,28.15,19.35,8.17,2
Spring_206,119.97,78.19,52.76,26.5,19.68,19.26,102.96,194.36,69.33,52.26,10.59,9.04,447.92,10.68,12.59,6.76,5
Spring_207,121.56,80.52,55.06,27.78,13.02,12.71,99.82,180.71,71.58,68.23,18.09,19.18,310.08,1.53,2.58,6.57,3
Spring_208,84.34,94.38,68.68,24.7,12.64,10.15,124.45,191.73,67.89,60.5,13.45,22.26,325.65,66.67,15.01,6.9,3
Spring_209,121.13,99.02,53.97,23.9,14.79,12.93,97.53,127.98,72.85,52.17,15.28,19.53,253.95,18.55,14.45,8.51,4
Spring_210,78.04,92.06,69.27,24.91,15.38,12.93,95.88,191.92,73.95,63.27,11.16,23.75,388.16,67.32,4.99,8.05,4
Spring_211,91.26,99.02,25.63,21.68,19.01,11.03,102.38,177.82,59.46,66.57,18.1,14.37,300.5,42.49,13.04,5.27,4
Spring_212,76.86,93.06,58.55,25.27,12.74,15.45,96.44,128.4,66.44,55.93,19.33,20.3,312.66,53.53,4.51,7.12,5
Spring_213,80.09,92.69,55.22,21.33,17.04,12.7,91.17,179.4,76.28,70.51,11.9,21.77,258.92,23.25,3.33,7.39,5
Spring_214,124.96,89.18,34.82,20.55,16.17,11.45,111.73,182.46,41.29,67.48,12.23,10.58,184.46,34.86,12.02,8.99,2
Spring_215,87.16,88.41,41.26,25.43,18.74,14.54,84.13,143.04,79.2,71.93,19.39,14.7,394.55,9.93,13.08,5.67,5
Spring_216,91.64,74.05,61.63,21.34,17.55,19.6,76.7,129.99,69.94,67.17,19.47,10.05,390.86,10.81,16.16,6.95,5
Spring_217,78.94,70.58,60.78,27.05,14.54,16.99,124.38,182.46,44.36,51.13,15.99,20.96,430.65,0.41,9.11,6.08,3
Spring_218,101.19,88.82,25.37,28.58,15.34,10.63,100.15,198.14,44.96,77.47,14.1,12.19,400.02,25.23,3.66,7.64,5
Spring_219,107.42,74.99,34.3,28.06,14.53,15.71,82.68,135.06,42.99,71.95,15.04,8.99,483.91,23.26,17.8,8.34,2
Spring_220,87.51,77.62,44.73,25.97,18.12,18.73,122.59,199.82,42.37,57.46,14.28,22.82,496.2,21.24,15.44,7.55,4
Spring_221,118.16,96.73,46.14,22.5,19.53,13.28,79.2,126.7,48.54,61.62,13.43,22.65,417.55,5.91,8.65,6.35,4
Spring_222,107.49,71.15,46.57,26.69,11.83,17.92,114.9,183.47,67.49,57.26,13.57,15.63,295.22,66.51,16.39,6.5,1
Spring_223,83.25,90.23,35.95,22.35,18.38,13.83,92.63,163.22,65.84,73.38,13.62,10.84,244.86,3.47,9.75,7.9,4
Spring_224,77.33,81.88,63.45,24.78,17.6,16.12,84.37,144.53,60.04,76.85,14.19,10.37,457.32,47.46,3.07,8.39,3
Spring_225,124.52,84.58,25.79,25.47,10.63,13.52,120.19,128.39,41.38,78.63,10.41,23.12,186.18,34.81,4.9,5.85,4
Spring_226,90.89,75.45,66.35,26.35,18.48,14.1,118.63,154.27,61.55,73.44,10.72,18.71,433.03,7.53,10.87,7.52,3
Spring_227,95.91,95.37,32.06,27.01,13.83,14.39,84.76,149.66,64.74,52.94,12.34,12.37,397.02,23.16,14.31,7.7,four
Spring_228,116.01,95.39,36.05,23.93,14.77,15.97,81.35,191.18,77.12,77.36,13.41,20.15,458.9,14.78,9.04,7.55,1
Spring_229,122.68,92.91,54.66,25.3,19.77,19.94,81.04,195.58,64.48,78.07,13.4,21.86,456.81,5.92,2.26,7.8,3
Spring_230,109.1,76.33,67.19,23.76,16.85,13.45,100.59,196.97,63.0,73.1,16.7,23.28,103.26,32.36,11.97,8.22,1
Spring_231,114.5,79.44,38.76,21.61,14.49,11.69,76.72,192.59,61.23,72.65,16.88,23.79,300.4,59.65,2.58,7.06,1
Spring_232,109.99,91.29,42.17,29.25,14.8,11.02,102.71,147.85,44.71,70.37,17.84,15.88,277.13,57.6,16.02,5.53,2
Spring_233,102.38,82.53,48.62,29.7,15.9,16.97,89.36,165.55,47.85,58.21,18.16,17.67,378.06,34.6,17.16,6.01,5
Spring_234,79.97,81.44,56.44,25.62,13.63,12.04,113.16,173.1,70.13,60.17,14.45,17.34,248.53,5.96,18.88,5.86,1
Spring_235,116.39,93.47,37.6,20.0,16.2,11.17,84.67,137.99,64.52,74.02,10.47,10.4,432.54,59.96,6.54,7.36,5
Spring_236,105.96,89.0,34.51,21.65,16.63,10.16,93.74,171.14,71.85,62.22,16.99,12.0,249.78,27.95,16.27,7.66,1
Spring_237,111.12,79.59,57.07,20.63,11.55,12.78,106.4,162.27,76.81,76.7,13.61,22.78,264.79,1.3,17.81,7.43,3
Spring_238,113.45,96.97,54.63,22.46,16.83,14.88,85.94,131.96,53.01,73.46,13.25,9.05,408.97,11.17,16.72,6.08,2
Spring_239,76.1,80.19,29.57,20.01,17.27,15.87,92.8,195.52,51.21,54.48,10.44,21.49,132.74,60.16,10.48,6.94,1
Spring_240,81.21,83.84,64.1,22.79,14.1,16.78,91.18,184.29,40.73,52.4,10.35,17.59,364.02,3.61,2.33,5.17,2
Spring_241,99.63,71.71,26.75,20.57,10.58,17.81,94.44,178.06,46.97,50.93,10.81,19.35,291.47,62.6,2.88,8.96,4
Spring_242,83.1,99.15,55.96,21.34,19.83,19.1,98.4,151.4,74.4,72.92,14.05,18.36,259.19,73.35,15.35,5.73,2
Spring_243,118.79,76.18,34.05,20.87,16.84,16.19,117.94,184.69,51.13,66.04,15.1,9.09,203.42,13.54,12.3,7.29,3
Spring_244,121.22,70.81,53.49,28.32,18.13,17.26,120.9,136.51,76.57,62.96,17.71,15.65,311.24,48.66,3.93,6.57,3
Spring_245,122.99,70.23,31.62,28.07,14.67,14.6,124.08,176.48,50.6,74.78,16.67,20.09,284.75,46.72,2.2,7.31,1
Spring_246,113.72,87.91,58.22,22.71,19.76,19.02,78.32,196.41,71.69,56.29,11.01,16.01,416.33,21.79,10.77,5.15,1
Spring_247,121.88,92.67,53.45,25.02,11.61,19.64,83.73,155.49,74.56,73.39,11.93,10.93,139.44,44.31,9.72,7.33,two
Spring_248,109.12,77.64,53.21,20.07,13.07,11.23,115.65,148.54,43.78,52.9,14.44,21.3,322.4,9.3,5.81,5.45,4
Spring_249,93.77,83.9,29.36,29.07,14.3,12.56,106.11,132.64,59.82,66.44,10.89,19.48,392.5,8.31,6.3,5.95,2
Spring_250,90.71,79.3,36.52,20.12,16.53,16.81,105.23,166.58,49.3,67.37,18.49,21.78,187.75,13.34,3.02,5.62,4
Spring_251,93.06,94.25,68.04,24.58,13.98,16.94,98.23,143.26,79.28,70.16,12.06,14.53,151.09,25.04,14.78,5.58,4
Spring_252,81.04,95.29,42.93,24.52,18.41,10.92,119.32,136.14,58.19,56.69,18.09,11.8,219.55,28.77,14.42,7.25,2
Spring_253,108.13,70.23,61.14,23.48,12.01,12.3,92.27,165.5,79.31,50.59,12.63,10.44,447.28,43.33,12.25,7.68,3
Spring_254,123.09,83.93,37.86,22.76,12.32,13.72,77.7,139.04,70.13,72.3,18.59,11.39,113.14,72.13,16.33,5.4,3
Spring_255,82.89,99.35,28.59,28.3,13.13,16.59,91.11,181.31,54.73,58.17,15.87,19.74,255.97,70.89,15.6,5.29,1
Spring_256,86.0,98.12,33.28,23.46,17.86,13.3,82.34,196.81,57.27,72.92,10.18,18.37,446.39,4.4,7.03,6.82,2
Spring_257,77.76,71.31,47.03,21.67,12.55,17.52,86.45,156.33,68.81,70.56,13.86,23.27,304.58,17.65,15.96,5.47,5
Spring_258,83.12,76.29,38.64,25.3,14.93,17.94,108.3,135.71,71.13,67.25,17.31,17.07,189.74,73.96,15.91,7.3,1
Spring_259,119.38,80.43,29.98,29.23,14.21,13.47,110.18,192.64,63.98,63.82,12.05,9.87,408.59,73.14,17.1,7.9,3
Spring_260,118.93,83.28,37.66,26.0,19.15,17.29,87.67,135.86,72.46,71.77,12.94,21.54,401.78,64.48,11.62,6.93,5
Spring_261,85.55,97.62,27.65,25.27,14.59,12.37,86.02,162.98,70.64,71.08,10.89,11.85,120.29,13.77,17.02,8.58,5
Spring_262,98.55,95.87,67.39,26.31,17.02,14.62,87.95,193.41,58.98,57.02,15.18,13.24,261.16,30.71,3.12,7.34,3
Spring_263,110.5,97.94,65.94,29.11,10.68,11.17,106.49,178.79,55.45,63.0,18.44,18.58,452.15,40.88,16.8,6.43,4
Spring_264,76.34,95.36,45.57,23.4,10.22,13.45,101.05,179.25,46.21,70.81,17.47,12.66,413.46,62.96,12.98,6.42,3
Spring_265,115.07,94.09,65.27,20.49,15.75,17.11,119.08,153.41,66.8,62.13,18.4,22.11,344.21,2.09,12.83,6.71,1
Spring_266,103.18,81.76,66.98,22.97,11.09,17.35,82.31,137.07,65.99,55.85,15.4,23.66,278.05,15.23,16.36,8.24,4
Spring_267,102.22,82.23,35.06,22.19,17.27,17.9,90.37,192.04,65.66,57.24,12.93,14.39,103.82,17.17,18.54,8.34,5
Spring_268,102.62,87.72,33.74,24.67,18.58,12.67,109.72,142.16,52.41,68.61,15.14,16.71,203.14,1.66,15.25,7.72,1
Spring_269,104.94,87.11,34.3,27.55,16.47,15.73,93.09,188.24,55.63,54.53,12.56,23.98,179.39,18.64,16.67,7.89,3
Spring_270,116.2,95.39,25.83,28.29,10.29,13.82,102.71,197.52,42.91,68.42,14.17,18.44,428.19,72.65,11.19,6.11,3
Spring_271,82.72,72.43,48.72,28.17,16.34,13.88,96.68,145.07,68.69,69.65,13.06,8.97,206.85,38.61,3.8,8.67,3
Spring_272,93.31,94.18,32.74,22.33,13.99,11.06,117.4,176.76,59.56,75.79,15.28,12.24,467.03,3.32,17.4,5.09,3
Spring_273,93.02,82.34,38.55,21.94,19.28,11.37,84.19,132.18,52.74,60.3,17.82,22.4,160.93,44.95,19.96,6.63,3
Spring_274,95.49,72.03,26.86,24.07,16.98,19.23,76.72,144.66,76.86,57.66,19.23,13.29,276.24,30.36,5.92,6.63,5
Spring_275,87.75,83.51,64.23,20.37,16.05,19.17,100.07,148.94,47.53,52.88,19.83,13.44,385.87,25.04,2.43,6.92,1
Spring_276,81.22,80.83,64.12,21.27,10.57,11.78,115.52,161.27,49.33,77.37,14.43,18.17,463.21,21.29,16.83,6.35,4
Spring_277,88.23,87.75,68.67,22.16,12.38,18.14,93.7,172.65,43.15,53.69,12.44,14.96,352.01,0.84,15.48,7.83,3
Spring_278,105.07,83.71,30.31,23.3,12.99,18.39,78.95,140.93,42.42,76.42,11.4,14.98,366.29,16.58,3.84,8.17,5
Spring_279,103.74,80.13,30.74,20.49,11.42,19.31,89.34,130.75,63.4,62.58,16.72,12.09,238.41,74.69,12.36,6.86,5
Spring_280,123.41,70.01,53.78,27.53,14.81,16.66,95.4,192.39,61.56,65.89,18.2,15.87,372.1,58.51,5.81,5.48,3
Spring_281,76.28,97.1,30.17,24.06,14.08,12.19,105.65,183.15,64.85,57.01,19.54,8.66,454.57,35.34,10.65,5.08,2
Spring_282,90.45,77.52,66.89,28.66,19.13,13.38,108.0,157.81,66.55,73.88,16.36,10.65,306.12,31.31,19.35,6.34,3
Spring_283,82.27,83.69,69.26,25.29,12.84,10.9,96.06,129.16,74.36,50.93,16.25,22.34,272.66,47.43,8.29,5.4,3
Spring_284,84.28,80.47,67.46,20.48,16.41,19.82,116.15,189.13,76.07,61.47,14.05,16.72,286.72,16.07,16.86,6.73,2
Spring_285,98.08,73.95,54.01,29.75,18.44,18.06,92.98,176.37,67.43,57.86,10.65,17.01,344.84,70.49,9.96,6.99,2
Spring_286,114.43,97.45,32.9,23.1,19.16,15.12,83.08,154.09,63.29,65.86,15.77,20.99,460.34,62.97,18.35,8.42,two
Spring_287,114.75,93.1,30.76,29.96,19.71,11.85,101.64,131.73,59.77,51.34,13.8,12.93,463.74,13.97,12.91,8.43,4
Spring_288,112.72,80.24,39.12,22.15,12.33,11.66,103.48,153.3,65.75,60.06,18.85,21.73,182.25,30.19,15.76,6.02,3
Spring_289,82.04,82.83,45.92,20.22,10.17,15.4,107.82,128.47,41.3,77.97,15.48,9.18,144.17,54.67,2.4,7.2,3
Spring_290,77.61,94.57,68.27,21.11,16.23,19.27,78.74,158.96,44.34,68.7,11.31,12.01,235.55,57.56,7.74,8.79,1
Spring_291,81.37,92.21,42.35,20.41,18.76,18.92,114.33,126.63,72.9,68.33,18.14,22.74,214.16,43.13,12.37,5.05,1
Spring_292,91.56,95.78,55.01,22.68,14.77,18.31,93.98,135.42,77.8,76.68,14.34,8.46,479.8,28.84,10.08,5.87,3
Spring_293,109.54,88.37,41.77,28.99,15.58,12.72,105.21,156.74,67.79,55.77,10.12,9.73,166.83,61.4,18.79,8.25,1
Spring_294,112.4,99.36,36.56,20.56,17.52,12.61,118.76,181.6,57.14,78.96,14.79,22.98,108.32,2.72,19.16,6.08,1
Spring_295,93.8,80.88,26.12,24.49,10.59,18.3,77.64,136.01,73.72,66.55,13.4,10.8,125.61,8.33,2.7,5.63,2
Spring_296,104.96,77.27,33.99,25.74,10.91,16.18,85.7,151.9,75.26,69.85,18.26,12.3,332.45,14.39,4.48,6.82,5
Spring_297,120.46,83.71,65.94,23.59,12.78,12.92,110.72,160.29,47.32,51.18,16.54,15.64,188.72,18.42,14.15,8.75,2
Spring_298,79.59,87.15,58.81,29.96,13.96,13.66,94.29,197.98,69.83,65.29,18.54,16.09,242.41,12.22,5.74,5.71,1
Spring_299,86.19,81.69,57.24,26.13,10.4,17.95,86.74,158.04,66.91,51.65,10.78,21.41,149.95,64.01,8.29,7.17,3
Spring_300,119.4,70.36,60.74,21.35,15.5,10.4,108.75,192.05,72.18,51.6,14.29,8.08,353.06,3.6,2.03,7.71,one
Spring_301,97.95,98.09,64.16,24.79,13.5,13.82,98.83,187.87,61.49,72.52,17.0,19.1,262.65,12.36,9.12,8.4,5
Spring_302,88.27,75.43,65.47,20.4,13.25,18.17,114.65,153.97,67.28,50.18,18.44,21.5,357.53,63.99,14.39,8.39,4
Spring_303,84.3,84.1,26.92,20.42,19.12,19.96,90.56,177.35,60.49,70.87,13.83,14.26,361.48,2.49,6.43,5.92,1
Spring_304,77.18,77.96,27.46,25.11,14.47,15.51,85.09,173.54,51.03,74.44,16.08,8.92,195.33,67.88,12.19,5.39,5
Spring_305,114.42,70.4,36.93,21.44,18.69,12.48,88.77,164.87,69.49,58.17,16.61,18.44,278.56,67.29,3.28,7.94,2
Spring_306,105.8,70.13,38.19,21.44,12.58,16.35,95.38,167.67,55.55,65.61,19.52,23.72,358.68,11.14,19.02,5.52,2
Spring_307,105.41,97.32,27.83,22.54,18.47,11.4,95.57,128.58,67.73,60.35,15.42,17.89,188.41,64.23,3.58,5.36,2
Spring_308,120.57,79.0,64.62,26.1,17.74,11.4,99.42,144.81,59.67,51.67,11.08,18.29,153.6,42.0,5.64,8.51,5
Spring_309,79.27,94.76,67.01,23.13,18.08,14.05,113.28,145.8,47.3,62.58,18.38,10.23,162.72,0.3,18.99,5.13,three
Spring_310,117.41,93.54,48.85,21.62,14.91,15.17,85.43,136.66,45.02,79.16,14.45,8.53,320.09,12.89,10.85,8.08,4
Spring_311,99.71,98.2,50.12,28.42,15.75,10.56,87.63,128.74,46.69,67.85,19.03,22.66,262.05,29.92,9.24,5.08,3
Spring_312,95.26,84.24,68.8,27.58,11.75,14.92,77.86,170.42,54.3,72.39,11.54,20.21,444.97,46.34,14.22,6.1,2
Spring_313,82.03,71.37,27.77,27.15,13.21,15.21,98.1,151.15,61.58,71.82,11.71,19.31,458.69,21.46,10.52,5.35,3
Spring_314,91.91,80.14,35.72,24.83,19.82,17.59,95.69,125.11,49.25,51.87,12.68,23.43,277.97,47.23,14.08,8.52,2
Spring_315,98.8,88.7,55.04,23.26,16.38,12.2,81.23,187.07,61.46,79.82,12.52,22.01,146.97,30.8,8.09,5.59,1
Spring_316,92.29,78.66,51.78,26.43,10.33,12.69,115.2,125.4,74.14,78.07,10.65,8.16,337.52,57.21,17.68,7.96,2
Spring_317,88.17,97.27,68.75,24.99,17.23,17.27,95.87,172.66,60.19,56.36,16.09,11.4,105.89,20.12,13.11,5.8,4
Spring_318,104.46,72.45,48.68,21.95,10.01,15.55,77.41,128.51,72.6,62.94,17.72,10.83,377.32,24.27,15.23,7.94,4
Spring_319,123.7,75.8,29.11,27.93,17.49,15.5,118.01,183.16,58.34,65.27,11.55,16.36,434.49,38.48,13.13,6.33,1
Spring_320,92.54,93.78,66.22,20.68,11.63,18.54,77.08,132.98,57.59,72.15,19.57,8.67,458.84,49.01,6.63,6.9,1
Spring_321,109.06,93.45,66.4,27.37,12.27,19.31,94.09,141.1,51.61,73.29,11.32,16.19,393.87,67.28,14.98,5.05,two
Spring_322,117.44,78.67,30.27,26.18,12.73,14.57,98.26,164.46,68.0,77.23,19.28,15.62,292.56,12.57,9.96,8.15,3
Spring_323,87.65,98.67,63.61,23.51,11.36,12.94,106.41,147.41,77.41,61.03,17.04,9.0,424.23,13.63,14.67,7.51,1
Spring_324,96.11,75.84,47.65,27.27,16.44,15.3,102.92,139.32,54.46,50.67,14.93,16.52,401.55,22.32,5.67,8.67,3
Spring_325,77.32,70.44,35.31,28.84,17.25,17.48,82.38,134.54,56.42,70.47,15.38,21.84,477.97,37.77,2.57,7.54,1
Spring_326,114.81,97.99,62.5,20.9,12.77,15.62,110.87,143.62,51.29,77.46,19.6,10.07,205.73,43.6,15.61,6.23,1
Spring_327,98.03,77.3,60.17,22.55,14.48,15.6,78.95,131.21,45.67,62.02,17.82,19.8,320.32,47.3,2.12,8.06,1
Spring_328,115.39,81.86,31.86,25.84,13.92,12.87,97.97,170.9,66.0,63.39,13.72,18.66,212.15,17.43,3.77,8.68,5
Spring_329,83.63,85.76,62.97,25.11,14.54,16.39,103.99,164.22,61.86,79.02,19.08,14.41,308.08,73.1,8.11,5.64,4
Spring_330,115.28,94.36,67.64,23.43,15.64,15.34,103.67,152.39,59.34,70.5,10.36,17.82,321.73,16.26,4.53,8.66,5
Spring_331,87.53,92.75,36.8,29.67,11.8,10.16,104.02,159.52,52.77,61.58,15.46,18.4,239.53,8.9,12.1,6.62,5
Spring_332,78.47,74.31,28.98,27.41,19.49,13.73,119.04,148.26,42.92,51.19,18.6,13.87,198.46,12.95,5.03,8.19,3
Spring_333,121.15,70.03,47.08,27.45,17.01,14.09,81.44,157.49,46.7,76.13,10.45,8.6,109.91,35.45,2.68,5.82,2
Spring_334,82.53,85.95,65.35,27.59,12.93,19.52,85.91,199.45,47.61,69.73,15.45,19.35,220.26,31.22,15.11,5.48,1
Spring_335,104.61,94.42,62.55,27.32,18.76,13.61,91.12,158.97,41.89,66.43,19.72,17.47,225.07,51.47,3.71,7.85,1
Spring_336,97.6,90.47,37.99,22.11,12.7,16.22,98.4,184.95,66.79,66.47,14.8,18.08,140.18,2.1,15.44,6.86,2
Spring_337,93.73,70.37,61.02,22.11,14.55,16.79,123.3,172.3,78.75,69.55,14.33,11.04,390.0,3.45,2.46,6.33,4
Spring_338,99.0,81.13,41.32,25.83,16.22,18.27,116.9,190.03,44.68,61.98,12.14,22.71,121.17,29.77,5.9,8.03,1
Spring_339,112.36,88.15,29.41,21.73,15.64,11.62,111.19,153.23,47.08,55.7,17.42,11.17,149.25,31.63,15.81,7.98,4
Spring_340,77.46,78.04,63.01,29.68,17.82,12.55,106.43,189.29,43.6,53.83,11.72,10.13,438.56,0.33,19.42,8.72,3
Spring_341,78.51,80.9,47.29,20.37,13.75,19.71,90.13,188.27,77.22,69.67,18.35,21.58,221.99,73.74,12.84,5.08,5
Spring_342,88.72,97.0,27.01,29.38,15.79,19.16,94.71,195.17,54.28,57.68,11.07,13.57,125.19,65.55,6.41,7.77,5
Spring_343,98.53,88.38,50.37,26.01,17.07,14.0,96.47,194.24,72.67,71.71,17.01,15.11,318.07,26.77,19.83,8.67,5
Spring_344,108.79,86.89,39.3,29.59,13.22,18.99,119.38,151.09,51.59,73.0,10.97,8.13,172.8,66.46,7.15,5.26,5
Spring_345,121.01,81.12,41.43,24.15,13.39,19.43,111.43,157.65,48.08,51.56,11.18,17.17,398.35,46.76,3.56,6.9,5
Spring_346,118.77,70.69,48.78,21.05,17.82,16.03,108.18,185.07,40.47,77.58,12.57,13.15,278.82,12.7,19.93,8.03,2
Spring_347,81.06,73.63,50.83,22.26,11.19,12.04,118.13,169.05,58.43,61.59,13.88,13.47,392.72,3.11,7.35,6.46,2
Spring_348,88.92,89.35,34.41,26.44,12.54,14.92,89.2,195.58,67.77,76.62,19.96,22.86,303.09,56.39,5.54,6.57,5
Spring_349,108.13,71.66,34.58,29.12,17.79,12.39,110.07,175.74,61.13,71.29,13.88,11.01,486.21,62.54,3.73,5.25,3
Spring_350,117.78,90.78,40.95,20.89,16.9,15.4,111.87,139.4,40.71,54.36,17.71,20.27,206.05,62.86,2.71,8.52,5
Spring_351,95.14,75.64,63.07,25.4,11.82,12.24,99.64,184.82,67.76,58.1,11.3,16.02,123.71,71.48,10.86,8.89,5
Spring_352,113.56,99.92,52.08,26.39,10.36,10.18,98.65,157.11,40.55,68.3,13.79,8.56,396.5,20.8,9.46,8.4,3
Spring_353,124.59,97.37,53.37,21.81,11.2,14.16,124.0,174.85,65.71,65.92,10.65,23.5,210.88,56.31,17.44,8.32,1
Spring_354,94.19,87.55,27.15,28.91,13.68,13.6,123.83,127.08,59.41,55.41,13.23,21.23,123.93,44.73,12.21,6.63,5
Spring_355,94.39,72.82,33.29,26.21,14.74,17.64,97.26,157.74,66.97,72.0,17.68,15.69,409.05,52.51,18.83,7.57,4
Spring_356,75.34,75.0,57.71,29.85,10.6,16.84,82.73,155.53,53.89,58.74,18.21,15.83,169.25,72.24,6.45,8.99,2
Spring_357,109.31,80.04,35.83,26.05,16.15,10.88,123.0,180.76,55.88,61.93,10.13,9.87,380.08,56.5,15.96,5.89,four
Spring_358,97.75,96.69,53.83,21.04,16.16,17.66,119.85,146.91,70.29,75.24,18.23,18.19,375.02,1.83,5.77,5.93,1
Spring_359,107.17,86.13,68.42,22.01,18.37,10.54,96.67,148.85,64.34,73.73,17.47,19.71,406.9,32.8,18.01,6.76,2
Spring_360,120.97,73.9,35.14,24.06,12.59,10.56,106.63,189.56,57.91,66.45,19.63,9.56,280.79,48.03,6.94,7.14,5
Spring_361,107.47,90.34,44.61,24.99,19.9,13.59,112.64,139.08,69.37,76.92,16.26,23.52,329.43,24.92,4.87,8.51,1
Spring_362,115.63,71.34,48.43,22.57,10.75,19.92,90.82,173.77,48.54,74.73,17.97,12.8,422.53,34.4,6.06,5.31,1
Spring_363,113.08,80.49,48.66,25.9,17.01,14.76,90.07,171.0,51.18,52.97,14.95,10.64,475.74,73.98,4.95,6.78,1
Spring_364,86.68,73.76,33.3,25.65,13.21,17.65,114.72,137.86,40.36,67.77,13.09,9.7,471.75,30.08,16.68,6.5,1
Spring_365,121.4,93.84,34.58,28.03,12.81,11.74,117.49,145.3,52.12,51.99,17.91,14.15,451.82,19.96,10.36,7.58,1
Spring_366,104.06,93.09,46.78,21.37,18.06,18.52,114.37,135.73,59.98,78.62,17.16,18.24,411.6,13.08,7.06,7.99,1
Spring_367,91.87,86.65,58.98,25.76,19.81,14.58,106.01,196.64,51.28,75.87,16.67,13.14,465.19,28.16,12.35,7.65,4
Spring_368,105.66,70.83,61.34,24.06,14.07,14.76,106.14,157.11,67.77,57.33,17.1,15.07,311.71,25.17,2.58,5.17,3
Spring_369,124.98,94.12,25.57,29.48,13.85,15.79,107.91,171.3,54.48,79.19,19.38,10.45,445.49,72.2,16.95,6.91,5
Spring_370,106.65,74.48,48.99,29.73,11.31,10.34,106.72,153.32,58.37,55.84,17.72,19.86,268.3,19.83,2.13,6.86,2
Spring_371,82.78,99.5,62.69,26.14,13.07,12.96,97.35,132.08,48.06,63.68,12.14,21.35,486.67,61.01,16.98,6.34,1
Spring_372,94.0,91.99,69.29,21.53,12.96,10.19,93.53,178.22,51.92,73.18,18.55,10.77,233.56,19.56,19.59,8.18,2
Spring_373,93.96,82.18,55.28,29.15,14.35,10.84,112.44,196.4,66.73,69.8,11.99,10.32,302.06,13.67,11.04,6.84,1
Spring_374,96.91,80.72,44.88,25.96,19.68,11.28,99.37,190.45,40.3,51.75,13.55,11.7,452.2,31.14,3.37,6.11,2
Spring_375,118.08,72.82,58.04,24.09,16.13,12.86,105.33,166.0,68.44,74.44,18.25,11.79,493.34,69.98,16.31,6.79,three
Spring_376,80.43,84.65,62.84,21.55,14.95,14.9,104.85,172.1,50.22,58.25,11.97,8.53,261.66,59.69,7.56,6.1,3
Spring_377,123.62,83.77,56.47,29.02,18.79,14.88,96.01,167.77,77.23,79.97,10.64,10.42,439.78,17.55,15.71,5.16,one
Spring_378,105.95,99.52,54.33,21.79,10.45,10.27,83.46,172.35,66.15,79.87,19.94,18.84,290.49,34.27,13.76,8.32,2
Spring_379,95.77,74.62,45.97,29.22,17.14,11.21,83.27,190.96,68.49,53.69,13.23,17.85,279.21,33.79,6.76,8.88,4
Spring_380,122.11,70.21,52.64,25.06,12.43,16.54,117.65,198.5,55.75,69.48,16.16,22.13,355.14,38.64,9.39,8.83,1
Spring_381,84.17,84.38,57.96,27.23,18.98,18.83,110.98,161.28,59.28,54.51,16.25,19.45,404.98,6.02,11.49,8.81,1
Spring_382,111.66,71.18,29.62,28.87,18.38,19.97,76.84,177.94,61.48,70.7,13.26,8.25,434.95,28.69,16.61,7.65,1
Spring_383,116.57,77.64,45.63,28.79,18.4,14.34,84.14,146.8,60.47,69.66,13.83,8.93,467.63,11.25,17.31,8.04,one
Spring_384,111.88,78.62,39.65,20.91,14.42,19.84,79.4,173.02,56.38,79.93,12.31,19.42,113.48,44.46,6.17,7.46,1
Spring_385,103.66,82.2,56.95,25.85,16.3,19.92,95.65,186.66,70.01,63.27,19.05,14.49,326.45,13.89,16.87,5.76,4
Spring_386,103.86,98.36,28.15,23.91,13.69,19.93,120.42,140.95,49.67,60.93,13.62,11.8,277.26,14.09,5.83,6.68,3
Spring_387,116.44,88.08,66.25,22.32,15.63,10.97,75.99,156.77,46.13,60.28,13.25,16.74,174.21,19.4,7.13,6.34,5
Spring_388,77.75,92.18,43.18,28.05,11.36,14.16,97.81,126.64,55.62,69.75,19.55,11.63,216.86,4.56,3.79,8.6,3
Spring_389,115.9,77.71,65.0,28.82,13.47,19.46,96.57,153.7,49.12,58.31,16.68,13.95,237.38,21.0,10.67,5.67,2
Spring_390,76.05,96.43,57.04,27.58,14.12,13.89,118.67,168.7,62.47,67.99,19.51,9.73,126.11,60.3,14.01,5.52,4
